"user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"anaxyrus_fowleri","Anaxyrus_fowleri","Catalogue of Life",0.988,"Anaxyrus fowleri"
"anaxyrus_houstonensis","Anaxyrus_houstonensis","Catalogue of Life",0.988,"Anaxyrus houstonensis"
"anaxyrus_quercicus","Anaxyrus_quercicus","Catalogue of Life",0.988,"Anaxyrus quercicus"
"anaxyrus_terrestris","Anaxyrus_terrestris","Catalogue of Life",0.988,"Anaxyrus terrestris"
"ancylostoma_caninum","Ancylostoma_caninum","NCBI",0.988,"Ancylostoma caninum"
"ancylostoma_duodenale","Ancylostoma_duodenale","NCBI",0.988,"Ancylostoma duodenale"
"andigena_hypoglauca","Andigena_hypoglauca","Catalogue of Life",0.988,"Andigena hypoglauca"
"andrias_japonicus","Andrias_japonicus","Catalogue of Life",0.988,"Andrias japonicus"
"aneides_lugubris","Aneides_lugubris","Catalogue of Life",0.988,"Aneides lugubris"
"anelosimus_eximius","Anelosimus_eximius","Catalogue of Life",0.988,"Anelosimus eximius"
"anemonia_viridis","Anemonia_viridis","Catalogue of Life",0.988,"Anemonia viridis"
"angiostrongylus_cantonensis","Angiostrongylus_cantonensis","Wikispecies",0.988,"Angiostrongylus cantonensis"
"anguilla_anguilla","Anguilla_anguilla","Catalogue of Life",0.988,"Anguilla anguilla"
"anguilla_rostrata","Anguilla_rostrata","Catalogue of Life",0.988,"Anguilla rostrata"
"anguispira_alternata","Anguispira_alternata","ITIS",0.988,"Anguispira alternata"
"anguispira_picta","Anguispira_picta","ITIS",0.988,"Anguispira picta"
"anhima_cornuta","Anhima_cornuta","Catalogue of Life",0.988,"Anhima cornuta"
"anhinga_anhinga","Anhinga_anhinga","Catalogue of Life",0.988,"Anhinga anhinga"
"anhinga_melanogaster","Anhinga_melanogaster","Catalogue of Life",0.988,"Anhinga melanogaster"
"anisakis_simplex","Anisakis_simplex","NCBI",0.988,"Anisakis simplex"
"anniella_pulchra","Anniella_pulchra","Catalogue of Life",0.988,"Anniella pulchra"
"anodontoides_ferussacianus","Anodontoides_ferussacianus","Catalogue of Life",0.988,"Anodontoides ferussacianus"
"anodorhynchus_hyacinthinus","Anodorhynchus_hyacinthinus","Catalogue of Life",0.988,"Anodorhynchus hyacinthinus"
"anolis_carolinensis","Anolis_carolinensis","Catalogue of Life",0.988,"Anolis carolinensis"
"anolis_cristatellus","Anolis_cristatellus","Catalogue of Life",0.988,"Anolis cristatellus"
"anolis_equestris","Anolis_equestris","Catalogue of Life",0.988,"Anolis equestris"
"anomalurus_beecrofti","Anomalurus_beecrofti","Catalogue of Life",0.988,"Anomalurus beecrofti"
"anomalurus_derbianus","Anomalurus_derbianus","Catalogue of Life",0.988,"Anomalurus derbianus"
"anomalurus_pusillus","Anomalurus_pusillus","Catalogue of Life",0.988,"Anomalurus pusillus"
"anopheles_gambiae","Anopheles_gambiae","Catalogue of Life",0.988,"Anopheles gambiae"
"anopheles_quadrimaculatus","Anopheles_quadrimaculatus","Catalogue of Life",0.988,"Anopheles quadrimaculatus"
"anoplogaster_cornuta","Anoplogaster_cornuta","Catalogue of Life",0.988,"Anoplogaster cornuta"
"anoplophora_glabripennis","Anoplophora_glabripennis","Catalogue of Life",0.988,"Anoplophora glabripennis"
"anoura_geoffroyi","Anoura_geoffroyi","Catalogue of Life",0.988,"Anoura geoffroyi"
"anous_minutus","Anous_minutus","Catalogue of Life",0.988,"Anous minutus"
"anser_albifrons","Anser_albifrons","Catalogue of Life",0.988,"Anser albifrons"
"anser_anser","Anser_anser","Catalogue of Life",0.988,"Anser anser"
"anser_caerulescens","Anser_caerulescens","Catalogue of Life",0.988,"Anser caerulescens"
"anser_canagicus","Anser_canagicus","Catalogue of Life",0.988,"Anser canagicus"
"anser_cygnoides","Anser_cygnoides","Catalogue of Life",0.988,"Anser cygnoides"
"anser_fabalis","Anser_fabalis","Catalogue of Life",0.988,"Anser fabalis"
"anser_indicus","Anser_indicus","Catalogue of Life",0.988,"Anser indicus"
"anseranas_semipalmata","Anseranas_semipalmata","Catalogue of Life",0.988,"Anseranas semipalmata"
"antaresia_perthensis","Antaresia_perthensis","Catalogue of Life",0.988,"Antaresia perthensis"
"antechinomys_laniger","Antechinomys_laniger","Catalogue of Life",0.988,"Antechinomys laniger"
"antechinus_stuartii","Antechinus_stuartii","Catalogue of Life",0.988,"Antechinus stuartii"
"antechinus_swainsonii","Antechinus_swainsonii","Catalogue of Life",0.988,"Antechinus swainsonii"
"antheraea_polyphemus","Antheraea_polyphemus","Catalogue of Life",0.988,"Antheraea polyphemus"
"anthonomus_grandis","Anthonomus_grandis","Catalogue of Life",0.988,"Anthonomus grandis"
"anthopleura_sola","Anthopleura_sola","Catalogue of Life",0.988,"Anthopleura sola"
"anthopleura_xanthogrammica","Anthopleura_xanthogrammica","Catalogue of Life",0.988,"Anthopleura xanthogrammica"
"anthrax_albofasciatus","Anthrax_albofasciatus","Catalogue of Life",0.988,"Anthrax albofasciatus"
"anthropoides_virgo","Anthropoides_virgo","Catalogue of Life",0.988,"Anthropoides virgo"
"anthus_cervinus","Anthus_cervinus","Catalogue of Life",0.988,"Anthus cervinus"
"anthus_spinoletta","Anthus_spinoletta","Catalogue of Life",0.988,"Anthus spinoletta"
"anthus_spragueii","Anthus_spragueii","Catalogue of Life",0.988,"Anthus spragueii"
"antidorcas_marsupialis","Antidorcas_marsupialis","Catalogue of Life",0.988,"Antidorcas marsupialis"
"antilocapra_americana","Antilocapra_americana","Catalogue of Life",0.988,"Antilocapra americana"
"antilocapra_americana_sonoriensis","Antilocapra_americana_sonoriensis","Catalogue of Life",0.999,"Antilocapra americana sonoriensis"
"antilope_cervicapra","Antilope_cervicapra","Catalogue of Life",0.988,"Antilope cervicapra"
"antrozous_pallidus","Antrozous_pallidus","Catalogue of Life",0.988,"Antrozous pallidus"
"aonyx_capensis","Aonyx_capensis","Catalogue of Life",0.988,"Aonyx capensis"
"aonyx_capensis_congica","Aonyx_capensis_congica","Catalogue of Life",0.999,"Aonyx capensis congica"
"aonyx_cinerea","Aonyx_cinerea","Catalogue of Life",0.988,"Aonyx cinerea"
"aotus_azarae","Aotus_azarae","Catalogue of Life",0.988,"Aotus azarae"
"aotus_lemurinus","Aotus_lemurinus","Catalogue of Life",0.988,"Aotus lemurinus"
"aotus_nancymaae","Aotus_nancymaae","Catalogue of Life",0.988,"Aotus nancymaae"
"aotus_nigriceps","Aotus_nigriceps","Catalogue of Life",0.988,"Aotus nigriceps"
"aotus_trivirgatus","Aotus_trivirgatus","Catalogue of Life",0.988,"Aotus trivirgatus"
"apalone_ferox","Apalone_ferox","Catalogue of Life",0.988,"Apalone ferox"
"apalone_mutica","Apalone_mutica","Catalogue of Life",0.988,"Apalone mutica"
"apalone_spinifera","Apalone_spinifera","Catalogue of Life",0.988,"Apalone spinifera"
"aphelocoma_californica","Aphelocoma_californica","Catalogue of Life",0.988,"Aphelocoma californica"
"aphelocoma_coerulescens","Aphelocoma_coerulescens","Catalogue of Life",0.988,"Aphelocoma coerulescens"
"aphelocoma_ultramarina","Aphelocoma_ultramarina","Catalogue of Life",0.988,"Aphelocoma ultramarina"
"aphonopelma_chalcodes","Aphonopelma_chalcodes","Catalogue of Life",0.988,"Aphonopelma chalcodes"
"aphredoderus_sayanus","Aphredoderus_sayanus","Catalogue of Life",0.988,"Aphredoderus sayanus"
"apis_mellifera","Apis_mellifera","Catalogue of Life",0.988,"Apis mellifera"
"aplodinotus_grunniens","Aplodinotus_grunniens","Catalogue of Life",0.988,"Aplodinotus grunniens"
"aplodontia_rufa","Aplodontia_rufa","Catalogue of Life",0.988,"Aplodontia rufa"
"aplysia_californica","Aplysia_californica","Catalogue of Life",0.988,"Aplysia californica"
"aplysia_dactylomela","Aplysia_dactylomela","Catalogue of Life",0.988,"Aplysia dactylomela"
"apodemus_agrarius","Apodemus_agrarius","Catalogue of Life",0.988,"Apodemus agrarius"
"apodemus_sylvaticus","Apodemus_sylvaticus","Catalogue of Life",0.988,"Apodemus sylvaticus"
"aptenodytes_forsteri","Aptenodytes_forsteri","Catalogue of Life",0.988,"Aptenodytes forsteri"
"aptenodytes_patagonicus","Aptenodytes_patagonicus","Catalogue of Life",0.988,"Aptenodytes patagonicus"
"apteryx_australis","Apteryx_australis","Catalogue of Life",0.988,"Apteryx australis"
"apteryx_haastii","Apteryx_haastii","Catalogue of Life",0.988,"Apteryx haastii"
"apteryx_owenii","Apteryx_owenii","Catalogue of Life",0.988,"Apteryx owenii"
