"mentionned_species","canonical_name","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"calomys_boliviae","Calomys boliviae",2437956,"ACCEPTED","EXACT","Calomys boliviae",2437956,"Rodentia","Cricetidae"
"calomys_callidus","Calomys callidus",2437953,"ACCEPTED","EXACT","Calomys callidus",2437953,"Rodentia","Cricetidae"
"calomys_callosus","Calomys callosus",2437950,"ACCEPTED","EXACT","Calomys callosus",2437950,"Rodentia","Cricetidae"
"calomys_expulsus","Calomys expulsus",4265146,"ACCEPTED","EXACT","Calomys expulsus",4265146,"Rodentia","Cricetidae"
"calomys_hummelincki","Calomys hummelincki",2437952,"ACCEPTED","EXACT","Calomys hummelincki",2437952,"Rodentia","Cricetidae"
"calomys_laucha","Calomys laucha",9719395,"ACCEPTED","EXACT","Calomys laucha",9719395,"Rodentia","Cricetidae"
"calomys_lepidus","Calomys lepidus",2437955,"SYNONYM","EXACT","Neotoma lepida",2438438,"Rodentia","Cricetidae"
"calomys_musculinus","Calomys musculinus",2437951,"ACCEPTED","EXACT","Calomys musculinus",2437951,"Rodentia","Cricetidae"
"calomys_sorellus","Calomys sorellus",2437957,"ACCEPTED","EXACT","Calomys sorellus",2437957,"Rodentia","Cricetidae"
"calomys_tener","Calomys tener",2437954,"ACCEPTED","EXACT","Calomys tener",2437954,"Rodentia","Cricetidae"
"calomys_venustus","Calomys venustus",4265148,"SYNONYM","EXACT","Rhipidomys venustus",5219827,"Rodentia","Cricetidae"
"calomyscus_bailwardi","Calomyscus bailwardi",2439355,"ACCEPTED","EXACT","Calomyscus bailwardi",2439355,"Rodentia","Calomyscidae"
"calomyscus_mystax","Calomyscus mystax",2439352,"ACCEPTED","EXACT","Calomyscus mystax",2439352,"Rodentia","Calomyscidae"
"caloprymnus_campestris","Caloprymnus campestris",2440028,"ACCEPTED","EXACT","Caloprymnus campestris",2440028,"Diprotodontia","Potoroidae"
"calopteryx_dimidiata","Calopteryx dimidiata",5052044,"ACCEPTED","EXACT","Calopteryx dimidiata",5052044,"Odonata","Calopterygidae"
"calosoma_sycophanta","Calosoma sycophanta",4989308,"ACCEPTED","EXACT","Calosoma sycophanta",4989308,"Coleoptera","Carabidae"
"calothorax_lucifer","Calothorax lucifer",2476570,"ACCEPTED","EXACT","Calothorax lucifer",2476570,"Apodiformes","Trochilidae"
"caluromys_derbianus","Caluromys derbianus",2439992,"ACCEPTED","EXACT","Caluromys derbianus",2439992,"Didelphimorphia","Didelphidae"
"caluromys_lanatus","Caluromys lanatus",2440004,"ACCEPTED","EXACT","Caluromys lanatus",2440004,"Didelphimorphia","Didelphidae"
"caluromys_philander","Caluromys philander",2439999,"ACCEPTED","EXACT","Caluromys philander",2439999,"Didelphimorphia","Didelphidae"
"caluromysiops_irrupta","Caluromysiops irrupta",2439937,"ACCEPTED","EXACT","Caluromysiops irrupta",2439937,"Didelphimorphia","Didelphidae"
"calvia_quatuordecimguttata","Calvia quatuordecimguttata",1043171,"ACCEPTED","EXACT","Calvia quatuordecimguttata",1043171,"Coleoptera","Coccinellidae"
"calypte_anna","Calypte anna",2476674,"ACCEPTED","EXACT","Calypte anna",2476674,"Apodiformes","Trochilidae"
"calypte_costae","Calypte costae",2476675,"ACCEPTED","EXACT","Calypte costae",2476675,"Apodiformes","Trochilidae"
"calyptophractus_retusus","Calyptophractus retusus",2440821,"ACCEPTED","EXACT","Calyptophractus retusus",2440821,"Cingulata","Dasypodidae"
"cambarus_bartonii","Cambarus bartonii",2227381,"ACCEPTED","EXACT","Cambarus bartonii",2227381,"Decapoda","Cambaridae"
"cambarus_diogenes","Cambarus diogenes",2227362,"ACCEPTED","EXACT","Cambarus diogenes",2227362,"Decapoda","Cambaridae"
"camelus_bactrianus","Camelus bactrianus",2441238,"ACCEPTED","EXACT","Camelus bactrianus",2441238,"Artiodactyla","Camelidae"
"camelus_dromedarius","Camelus dromedarius",9055455,"ACCEPTED","EXACT","Camelus dromedarius",9055455,"Artiodactyla","Camelidae"
"campephilus_principalis","Campephilus principalis",2478561,"ACCEPTED","EXACT","Campephilus principalis",2478561,"Piciformes","Picidae"
"camponotus_pennsylvanicus","Camponotus pennsylvanicus",5034116,"ACCEPTED","EXACT","Camponotus pennsylvanicus",5034116,"Hymenoptera","Formicidae"
"campylopterus_hemileucurus","Campylopterus hemileucurus",2476133,"ACCEPTED","EXACT","Campylopterus hemileucurus",2476133,"Apodiformes","Trochilidae"
"campylorhynchus_brunneicapillus","Campylorhynchus brunneicapillus",5231474,"ACCEPTED","EXACT","Campylorhynchus brunneicapillus",5231474,"Passeriformes","Troglodytidae"
"canachites_canadensis","Canachites canadensis",2473502,"SYNONYM","EXACT","Falcipennis canadensis",2473492,"Galliformes","Phasianidae"
"cancer_antennarius","Cancer antennarium",5970318,"SYNONYM","FUZZY","Romaleon antennarium",5970317,"Decapoda","Cancridae"
"cancer_irroratus","Cancer irroratus",2222075,"ACCEPTED","EXACT","Cancer irroratus",2222075,"Decapoda","Cancridae"
"cancer_magister","Cancer magister",2222083,"SYNONYM","EXACT","Metacarcinus magister",5863764,"Decapoda","Cancridae"
"canis_adustus","Canis adustus",5219146,"ACCEPTED","EXACT","Canis adustus",5219146,"Carnivora","Canidae"
"canis_aureus","Canis aureus",5219219,"ACCEPTED","EXACT","Canis aureus",5219219,"Carnivora","Canidae"
"canis_latrans","Canis latrans",5219153,"ACCEPTED","EXACT","Canis latrans",5219153,"Carnivora","Canidae"
