"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Agapornis personatus","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","YES","YES","YES","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.0525,NA,NA,NA,NA,NA,NA,NA
"Agapornis roseicollis","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","YES","","","","YES","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.0548,NA,NA,NA,NA,NA,NA,NA
"Agasicles hygrophila","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","","YES","","","","","","",NA,"","",NA,"","","","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Agelaioides badius","YES","",NA,"YES","","","YES","","","","","","","",NA,"","","","","","","","","","YES","","","","","","","","","","","","","YES","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.045,NA,NA,NA,NA,NA,NA,NA
"Agelaius phoeniceus","","",NA,"","","","","","","","YES","","","",NA,"YES","","YES","YES","","YES","","","YES","YES","YES","","YES","","","","","","","","YES","YES","YES","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.0561,NA,NA,NA,NA,NA,NA,NA
"Agelaius tricolor","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","","YES","","","","","","","","","","","","","YES","YES","","","","",NA,"","",NA,"","","","","","Endangered","YES","","","YES",0.0595,NA,NA,NA,NA,NA,NA,NA
"Agkistrodon contortrix","YES","",NA,"","","","","","","","","","","",NA,"YES","YES","YES","YES","","","","","YES","YES","YES","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Agkistrodon piscivorus","YES","YES",NA,"","","","","","","","","","","",NA,"YES","YES","YES","YES","YES","YES","","","YES","YES","","YES","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","","YES","",1.0675,NA,NA,NA,NA,NA,NA,NA
"Aglais io","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aglantha digitale","YES","",NA,"","","","","","","","","YES","","",NA,"","","","","","","","","","","","","","","YES","","","","YES","","","","","","","","","",NA,"","",NA,"YES","","","","YES","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Agraulis vanillae","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Ailuroedus crassirostris","","",NA,"","","","YES","YES","","","","","","",NA,"YES","","","YES","","","","","","YES","","","","","","","","","","YES","","","","YES","","","YES","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.207,NA,NA,NA,NA,NA,NA,NA
"Ailuropoda melanoleuca","","",NA,"","","","YES","","","","","","","",NA,"","YES","","","YES","","","","","YES","","","","","","","","","","YES","","","","YES","","","","",NA,"","",NA,"","","","","","Endangered","YES","","","",102.5,NA,NA,NA,NA,NA,NA,NA
"Ailurops ursinus","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","","","","YES","","","YES","",NA,"","",NA,"","","","","","Vulnerable","YES","","","",7,NA,NA,NA,NA,NA,NA,NA
"Ailurus fulgens","","",NA,"","","","YES","","","","","","","",NA,"","","","","","YES","","","","","","","","","","","","","","YES","","","YES","YES","","","YES","",NA,"","",NA,"","","","","","Vulnerable","YES","","","YES",4.95,NA,NA,NA,NA,NA,NA,NA
"Aimophila aestivalis","YES","",NA,"YES","","","YES","","","","YES","","","",NA,"","","","","","","","","","YES","YES","","","","","","","","","","","","YES","","","","","",NA,"","",NA,"","","","","","Near Threatened","YES","","","YES",0.021,NA,NA,NA,NA,NA,NA,NA
"Aimophila ruficeps","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","","YES","","","","","","","","","","YES","","","YES","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.019,NA,NA,NA,NA,NA,NA,NA
"Aiptasia pallida","","",NA,"","","","","","","","","YES","","",NA,"","","","","","","","","","","","","","","","","","","YES","","","","","","","","","",NA,"","",NA,"","","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Aix galericulata","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.5605,NA,NA,NA,NA,NA,NA,NA
"Aix sponsa","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","","YES","YES","YES","","","","","","","","","","","YES","YES","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.6,NA,NA,NA,NA,NA,NA,NA
"Ajaia ajaja","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",1.037,NA,NA,NA,NA,NA,NA,NA
"Akodon aerosus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon affinis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon albiventer","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon azarae","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","","YES","YES","","","","","","","","","YES","","","YES","YES","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.019,NA,NA,NA,NA,NA,NA,NA
"Akodon bogotensis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon boliviensis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon budini","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon cursor","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","","YES","","","","","","","","","","YES","","","YES","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.0425,NA,NA,NA,NA,NA,NA,NA
"Akodon dayi","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon dolores","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon fumeus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon iniscatus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon juninensis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon kofordi","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon latebricola","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon lindberghi","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon lutescens","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon mimus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon molinae","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon mollis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon montensis","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","","YES","YES","","YES","","","","","","","YES","YES","","YES","YES","","","","",NA,"","",NA,"","YES","","","","Least Concern","YES","","","YES",0.042,NA,NA,NA,NA,NA,NA,NA
"Akodon neocenus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon orophilus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon philipmyersi","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Data Deficient","YES","","","YES",0.023,NA,NA,NA,NA,NA,NA,NA
"Akodon sanctipaulensis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon serrensis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon siberiae","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon simulator","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon spegazzinii","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon subfuscus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon surdus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon sylvanus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon toba","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon torques","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Akodon varius","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Alaria americana","YES","",NA,"","","","","","","","","","","",NA,"","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Alasmidonta heterodon","","",NA,"","","","","","","","","YES","","YES",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"YES","","YES","","","Vulnerable","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Alasmidonta marginata","","",NA,"","","","","","","","","YES","","YES",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","YES",NA,"YES","","YES","","YES","Data Deficient","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Alasmidonta viridis","","",NA,"","","","","","","","","YES","","YES",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","YES",NA,"YES","","YES","","YES","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Alauda arvensis","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","","YES","YES","YES","YES","","","","","","","","","","YES","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.036,NA,NA,NA,NA,NA,NA,NA
"Alaus oculatus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Albula vulpes","YES","YES",NA,"","","","","","","","","","","",NA,"","","","","YES","","","","","","","","","","YES","","","","","","","","","","","","","",NA,"","",NA,"","","","","","No special status","","YES","YES","",3,NA,NA,NA,NA,NA,NA,NA
"Alca torda","YES","YES",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.6175,NA,NA,NA,NA,NA,NA,NA
"Alcedo atthis","YES","YES",NA,"","","","","","","","","","","",NA,"","","","","YES","","","","","YES","","","","","YES","","","YES","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.034,NA,NA,NA,NA,NA,NA,NA
"Alcelaphus buselaphus","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","","","YES","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",137.5,NA,NA,NA,NA,NA,NA,NA
"Alcelaphus caama","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Alcelaphus lichtensteinii","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Alces alces","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","","YES","","","","","YES","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",520.5,NA,NA,NA,NA,NA,NA,NA
"Alces americanus","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","YES","YES","","","","","","",NA,"","",NA,"","","","","","No special status","YES","","","YES",435,NA,NA,NA,NA,NA,NA,NA
"Alectoris chukar","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","YES","","","","","","","","","","YES","","","YES","YES","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.595,NA,NA,NA,NA,NA,NA,NA
"Alepisaurus ferox","YES","YES",NA,"","","YES","","","","","","","","",NA,"","","","","YES","","","","","","","","","","YES","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Lower Risk - Least Concern","","YES","YES","",5.15,NA,NA,NA,NA,NA,NA,NA
"Alethe choloensis","YES","",NA,"YES","","","","","","","","","","",NA,"","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Endangered","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA
"Alionycteris paucidentata","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Allactaga bullata","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Allactaga elater","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.0587,NA,NA,NA,NA,NA,NA,NA
"Allactaga euphratica","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","YES","","YES","","","","","",NA,"","",NA,"","","","","","Near Threatened","YES","","","YES",0.0359,NA,NA,NA,NA,NA,NA,NA
"Allactaga major","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Allactaga severtzovi","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Allactaga sibirica","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Allactaga tetradactyla","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Vulnerable","YES","","","",0.052,NA,NA,NA,NA,NA,NA,NA
"Allactodipus bobrinskii","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","","YES","","","","","","","","","","YES","","","YES","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","YES","",0.065,NA,NA,NA,NA,NA,NA,NA
"Alle alle","YES","",NA,"","","","","","","","","YES","","",NA,"","","","","YES","","","","","","YES","YES","","","YES","","","","YES","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.1525,NA,NA,NA,NA,NA,NA,NA
"Allenopithecus nigroviridis","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","","YES","","","","","","","","","","YES","","","","YES","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",4.7025,NA,NA,NA,NA,NA,NA,NA
"Alligator mississippiensis","YES","YES",NA,"","","","","","","","","","","",NA,"YES","YES","YES","YES","YES","YES","","","","YES","","YES","","","","","","","","","","YES","","","","","","",NA,"","",NA,"","","","","","Lower Risk - Least Concern","","YES","YES","",150,NA,NA,NA,NA,NA,NA,NA
"Alligator sinensis","YES","YES",NA,"YES","YES","","","","","","","","","",NA,"YES","YES","","YES","YES","","","","","YES","","YES","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Critically Endangered","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Allocebus trichotis","","",NA,"","","","","","","","YES","","","",NA,"","","","","","","","","","YES","","","","","","","","","","","","","","","YES","","","YES",NA,"","",NA,"","","","","","Data Deficient","YES","","YES","",0.085,NA,NA,NA,NA,NA,NA,NA
"Allocricetulus curtatus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Allocricetulus eversmanni","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Alopias vulpinus","YES","YES",NA,"","","","","","","","","","","",NA,"","","","","YES","","","","","","","YES","","","YES","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Vulnerable","YES","","","",348,NA,NA,NA,NA,NA,NA,NA
"Alopochen aegyptiaca","","",NA,"","","","YES","","","","","","","",NA,"","","YES","","","","","","","YES","","","YES","","","","","","","YES","","","YES","","","","","",NA,"","",NA,"","","","","","No special status","YES","","","",1.875,NA,NA,NA,NA,NA,NA,NA
"Alosa aestivalis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Not Evaluated","","","","",0.4,NA,NA,NA,NA,NA,NA,NA
"Alosa chrysochloris","YES","YES",NA,"YES","","","","","","","","YES","","",NA,"","","","","YES","","","","","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Not Evaluated","","YES","","",0.453,NA,NA,NA,NA,NA,NA,NA
"Alosa pseudoharengus","","",NA,"","","","","","","","","YES","","",NA,"","","","","YES","YES","","","","","","","","","YES","","","","YES","","","","","","","","","",NA,"","",NA,"","","","","","Not Evaluated","","YES","YES","",0.11,NA,NA,NA,NA,NA,NA,NA
"Alosa sapidissima","YES","YES",NA,"","","","","","","","","","","",NA,"","","","","YES","YES","","","","","","","","","","","","","YES","","","","","","","","","",NA,"","",NA,"YES","","","","","No special status","","","","",2.5,NA,NA,NA,NA,NA,NA,NA
