"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Aethia pusilla","YES","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","YES","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.086,NA,NA,NA,NA,NA,NA,NA
"Aethomys chrysophilus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aethomys hindei","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aethomys ineptus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aethomys kaiseri","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aethomys nyikae","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aetobatus narinari","YES","",NA,"","YES","","","","","","","","","",NA,"","","","","YES","","","","","","","YES","","YES","YES","YES","","","","","","","","","","","","",NA,"","",NA,"","","","","","Near Threatened","","YES","YES","",230,NA,NA,NA,NA,NA,NA,NA
"Agalychnis callidryas","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Agama agama","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","No special status","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Agamia agami","YES","YES",NA,"","","","","","","","","","","",NA,"","","YES","","YES","","","","","","","","","","","","","YES","","","","","","","","","","",NA,"","",NA,"","","","","","Vulnerable","YES","","","",2.5,NA,NA,NA,NA,NA,NA,NA
"Agapornis fischeri","","",NA,"","","","YES","YES","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","YES","YES","","","","",NA,"","",NA,"","","","","","Near Threatened","YES","","","YES",0.05,NA,NA,NA,NA,NA,NA,NA
