"species","omnivore","mycophage","detritivore","coprophage","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","bodymass_kg","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_eggs","diet_scav","diet_plant","diet_seed","diet_fruit","diet_nect","diet_detritus","diet_dung","diet_microbes"
"alca_torda",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.6175,1,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"alcedo_atthis",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.034,1,0,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"alcelaphus_buselaphus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,137.5,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,NA,0,NA,NA,NA
"alces_alces",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,520.5,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,1,NA,NA,NA
"alces_americanus",NA,NA,NA,NA,"No special status",1,NA,NA,1,435,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"alectoris_chukar",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.595,0,0,1,NA,1,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"alepisaurus_ferox",NA,NA,NA,NA,"Lower Risk - Least Concern",NA,1,1,NA,5.15,1,1,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"alethe_choloensis",NA,NA,NA,NA,"Endangered",1,NA,NA,1,NA,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"allactaga_elater",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.0587,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"allactaga_euphratica",NA,NA,NA,NA,"Near Threatened",1,NA,NA,1,0.0359,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,NA,0,NA,NA,NA
"allactaga_tetradactyla",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,0.052,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"allactodipus_bobrinskii",1,NA,NA,NA,"Least Concern",1,NA,1,NA,0.065,0,0,0,NA,1,0,0,NA,0,NA,0,1,1,NA,0,NA,NA,NA
"alle_alle",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.1525,1,1,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"allenopithecus_nigroviridis",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,4.7025,0,0,0,NA,1,0,0,NA,0,NA,0,1,NA,1,0,NA,NA,NA
"alligator_mississippiensis",NA,NA,NA,NA,"Lower Risk - Least Concern",NA,1,1,NA,150,1,0,0,NA,1,1,1,1,0,1,0,1,NA,NA,0,NA,NA,NA
"alligator_sinensis",NA,NA,NA,NA,"Critically Endangered",NA,1,1,NA,NA,1,1,0,NA,1,1,1,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"allocebus_trichotis",1,NA,NA,NA,"Data Deficient",1,NA,1,NA,0.085,0,0,0,NA,1,0,0,NA,0,NA,0,1,NA,NA,1,NA,NA,NA
"alopias_vulpinus",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,348,1,0,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"alopochen_aegyptiaca",NA,NA,NA,NA,"No special status",1,NA,NA,NA,1.875,0,0,1,NA,1,0,1,NA,0,NA,0,1,1,NA,0,NA,NA,NA
"alosa_aestivalis",NA,NA,NA,NA,"Not Evaluated",NA,NA,NA,NA,0.4,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"alosa_chrysochloris",NA,NA,NA,NA,"Not Evaluated",NA,1,NA,NA,0.453,1,1,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"alosa_pseudoharengus",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,0.11,0,1,0,NA,1,0,0,1,0,1,0,0,NA,NA,0,NA,NA,NA
"alosa_sapidissima",NA,NA,NA,NA,"No special status",NA,NA,NA,NA,2.5,1,0,0,NA,1,0,0,1,0,1,0,1,NA,NA,0,NA,NA,NA
"alouatta_belzebul",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,NA,0,0,1,1,0,0,0,NA,0,NA,0,1,NA,1,1,1,NA,NA
"alouatta_caraya",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,7,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,1,1,NA,NA,NA
"alouatta_guariba",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,NA,0,0,1,1,0,0,0,NA,0,NA,0,1,NA,1,1,NA,NA,NA
"alouatta_palliata",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,6,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,1,1,NA,NA,NA
"alouatta_pigra",NA,NA,NA,NA,"Endangered",1,NA,NA,1,8.9,0,0,1,1,0,0,0,NA,0,NA,0,1,NA,1,1,NA,NA,NA
"alouatta_seniculus",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,5.5,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,1,1,NA,NA,NA
"alpheus_heterochaelis",1,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,0,0,NA,1,0,0,1,0,NA,0,1,NA,NA,0,NA,NA,NA
"altica_subplicata",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"alytes_obstetricans",NA,NA,NA,NA,"Lower Risk - Least Concern",NA,1,1,NA,NA,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"amandava_amandava",1,NA,NA,NA,"Least Concern",1,NA,NA,1,NA,0,0,1,NA,1,0,0,NA,0,NA,0,0,1,NA,0,NA,NA,NA
"amazilia_saucerrottei",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.0045,0,0,1,NA,0,0,0,NA,0,NA,0,0,NA,NA,1,NA,NA,NA
"amazilia_tzacatl",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.0054,0,0,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,1,NA,NA,NA
"amazona_aestiva",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.415,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,1,1,NA,NA,NA
"amazona_autumnalis",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"amazona_farinosa",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.62,0,0,1,1,0,0,0,NA,0,NA,0,1,1,1,1,NA,NA,NA
"amazona_imperialis",NA,NA,NA,NA,"Endangered",1,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"amazona_leucocephala",NA,NA,NA,NA,"Near Threatened",1,NA,NA,1,0.2805,0,0,1,1,0,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"amazona_ochrocephala",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.483,0,0,1,1,0,0,0,NA,0,NA,0,0,1,1,1,NA,NA,NA
"amazona_vittata",NA,NA,NA,NA,"Critically Endangered",1,NA,NA,1,NA,0,0,1,1,0,0,0,NA,0,NA,0,1,1,1,1,NA,NA,NA
"amblema_plicata",NA,NA,1,NA,"No special status",NA,1,1,NA,NA,0,1,0,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,1
"ambloplites_rupestris",1,NA,NA,NA,"Least Concern",NA,1,NA,NA,3,1,0,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"amblycercus_holosericeus",1,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0638,0,0,0,NA,1,0,0,NA,0,NA,0,0,NA,1,0,NA,NA,NA
"amblyomma_cajennense",NA,NA,NA,NA,"No special status",NA,1,NA,NA,0.001,1,0,0,NA,0,1,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"amblyomma_maculatum",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"amblyopsis_rosae",NA,NA,NA,NA,"Vulnerable",NA,1,1,NA,NA,1,1,0,NA,1,0,1,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"amblyornis_macgregoriae",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,NA,0,0,1,1,0,0,0,NA,0,NA,0,0,NA,1,0,NA,NA,NA
"amblyrhynchus_cristatus",NA,NA,NA,NA,"Vulnerable",NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"amblysomus_hottentotus",NA,NA,NA,NA,"Least Concern",1,NA,1,NA,0.0705,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"ambystoma_annulatum",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,NA,1,1,0,NA,1,0,1,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"ambystoma_californiense",NA,NA,NA,NA,"Vulnerable",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"ambystoma_cingulatum",NA,NA,NA,NA,"Vulnerable",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"ambystoma_gracile",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,NA,1,1,0,NA,1,0,0,NA,0,1,0,0,NA,NA,0,NA,NA,NA
