Reference Name,Number of records from each reference
"Chinsamy, A. and N. Valenzuela, 2008",4
"Cleere, N, 2010",4
"Coates, 2009",4
"Debus, S.J.S., Ley, A.J., 2009",4
"Deeming, D.C., Pike, T.W., 2013",4
"Diaz-N., J.F., Gomez-Laverde, M. and C. Sanchez-Giraldo, 2011",4
"Diaz-Valenzuela, R., Lara-Rodriguez, N.Z., Ortiz-Pulido, R., et al, 2011",4
"Dickman, et al., 2001",4
"Eger, J.L., Fenton, M.B., 2003",4
"Ferreira et al., 2013",4
"Geiser, 2004",4
"Gonzales, M.V., Armien, B., Armien, A., et al, 2004",4
"Gutierrez, J.A., Piantoni, C., and N.R. Ibarguengoytia, 2013",4
"Hawkins, F., 2013",4
"Helgen, 2007",4
"Herron, J.C., Emmons, L.H. and J.E. Cadle, 1990",4
"Hickey, M.B.C., Acharya, L., and S. Pennington, 1996",4
"Hickey, M.B.C., Dunlop, J.M., 2000",4
"Hill, J.E. and F.G. Rozendaal, 1989",4
"Horwell, D. and P. Oxford, 2011",4
"Hudson, W.S., Wilson, D.E., 1986",4
"Hwang, Y.T., Lariviere, S., 2003",4
"Ibrahim and El-Naggar, 2013",4
"Jones, I.L., Konyukhov, N.B., Williams, J.C., et al, 2001",4
"Justo, E.R., De Santis, L.J.M., Kin, M.S., 2003",4
"Khadka, M., Kafley, H., and B.P. Thapaliya, 2008",4
"Kofron, C.P. and C. Steiner, 1994",4
"Komar et al., 2007",4
"Kruger, T.L., 2010",4
"Kushlan, J.A. and F.J. Mazzotti, 1989",4
"Lacey, E.A., Ebensperger, L.A., 2007",4
"Lane, 2013",4
"Leiner et al., 2008",4
"Lelievre et al., 2010",4
"Lislevand, T., Figuerola, J., Szekely, T., 2009",4
"Lyons, 2012",4
"Macip-Rios et al., 2012",4
"Mancina, C.A., 2010",4
"Manik, H., 2011",4
"Mantooth, S.J., Best, T.L., 2005",4
"Marshall, L.G., 1978b",4
"Meng, W.Z., Wu, X.B., and L.S. Wu, 2008",4
"Merritt, J.F., 2010",4
"Michael and Lindenmayer, 2010",4
"Mougin, J.L., Jouanin, C.H.R., Roux, F., et al, 2000",4
"Naef-Daenzer, B., Widmer, F., Nuber, M., 2001",4
"Najafi, N.N., Kahrom, E., Karami, M., 2012",4
"Noureen, 2009",4
"Olsson, M., Gullberg, A., and H. Tegelstrom, 1996",4
"Patrick, Patrick, and Hunt, 2011",4
"Platt, S.G., Rainwater, T.R., Thorbjarnarson, J.B. et al., 2009",4
"Rivas, 2000",4
"Roots, E.H., Baker, R.J., 1998",4
"Russell, A.P. and A.M. Bauer, 2000",4
"Sankaran, R., Sivakumar, K., 1999",4
"Sherwin, R.E., Gannon, W.L., 2005",4
"Simpson, B.K. and M.R. Bezuijen, 2010",4
"Stevenson, C. and R. Whitaker, 2010",4
"Thorbjarnarson, J.B. and G. Hernandez, 1993",4
"Thorbjarnarson, J.B., Hernandez, G., 1993",4
"Tinkle, D.W., 1976",4
"van Bloemestein, 2005",4
"van Riper III, C., 1995",4
"Vasudevan, 2009",4
"Velten, B.P., 2012",4
"Verboven, N., Tinbergen, J.M., Verhulst, S., et al, 2001",4
"Wallis, I.R., Henen, B.T., Nagy, K.A., 1999",4
"Wanchai et al., 2013",4
"West, G.C., Butler, C.A., 2010",4
"Yoon, J., Na, S.H., Kim, S.K., et al, 2012",4
"Ziembicki, M., 2009",4
"Armstrong, D.M., Jones, J.K., 1972",3
"Balakrishnan, P., 2010",3
"Barnier et al., 2012",3
"Best, T.L., Kiser, W. M., and P.W. Freeman, 1996",3
"Bond, A.L., Jones, I.L., Seneviratne, S., 2013",3
"Bonin, Devaux, and Dupre, 2006",3
"Boustead, A., 2009",3
"Bradshaw et al., 1994",3
"Brennan, P.L., 2010",3
"Buckley, 2010",3
"Burger, Claudia, Belskii, E., Eeva, T., et al, 2012",3
"Burnett, S.E., Jennings, J.B., Rainey, J.C., et al, 2001",3
"Calabuig, C.P., Green, A.J., Ferrer, M., et al, 2011",3
"Clemente, Withers, Thompson, and Lloyd, 2011",3
"Copur, G., Baylan, M., Cangullari, S., 2010",3
"Cordero, Reeves, and Swarth, 2012",3
"Cortes-Calva, P., Yensen, E., Alvarez-Castaneda, S.T., 2001",3
"Cramer, M.J., Camerson, G.N., 2001",3
"Das, A., Basu, D., Converse, L., and S.C. Choudhury, 2012",3
"De Jong, M.J., 1996",3
"Diaz-Paniagua, C., Keller, C., and A.C. Andreu, 1997",3
"Duncan, W.P. and J.L. Marcon, 2009",3
"Dundas, 2008",3
"Dunnum, J.L., Salazar-Bravo, J., 2004",3
"Erickson et al., 2012",3
"Fathinia, B., Rastegar-Pouyani, N., Darvishnia, H., and M. Rajabizadeh, 2010",3
"Feare, C.J., 2002",3
"Fitch, H.S., 2003",3
"Fowler, M.E, Cubas, Z.S., 2008",3
"Gannon, M.R., 2005",3
"Goth, A., Vogel, U., 2004",3
"Greenhall, A.M., Schmidt, U., Joermann, G., 1984",3
"Hartmann, 2009",3
"Hedges, 2008",3
"Hermes-Lima et al., 2012",3
"Hice, 2003",3
"Hogstad, O., 2006",3
"Hollis, L., 2005",3
"Jennings, J.B., Best, T.L., Rainey, J.C., et al, 2000",3
"Lambert, Gaikhorst, and Matson, 2011",3
"Lancaster, D.A., 1964",3
"Lance, 2003",3
