"species_raw","primary_diet","carnivore","carnivore:piscivore","carnivore:sanguivore","carnivore:insectivore","carnivore:molluscivore","carnivore:eats_other_marine_invertebrates","herbivore","herbivore:frugivore","herbivore:lignivore","herbivore:algivore","omnivore","planktivore","mycophage","detritivore","coprophage","animal_foods","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non_insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","plant_foods","leaves","roots_and_tubers","wood_bark_or_stems","seeds_grains_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","other_foods","fungus","detritus","dung","microbes","endothermic","ectothermic","heterothermic","homoiothermic","mass_average_g","mass_adult_average_g","mass_adult_female_average_g","mass_adult_male_average_g","mass_embryo_average_g","mass_weanling_average_g","mass_female_average_g","mass_male_average_g","species"
"Agama agama","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"agama_agama"
"Agamia agami","Carnivore, Carnivore: Piscivore","YES","YES",NA,"","","","","","","","","","","",NA,"Amphibians, Fish, Other Marine Invertebrates","","","YES","","YES","","","","","","","","","","","","","YES","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",2500,NA,NA,NA,NA,NA,NA,NA,"agamia_agami"
"Agapornis fischeri","Herbivore, Herbivore: Frugivore, Herbivore: Granivore","","",NA,"","","","YES","YES","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES",50,NA,NA,NA,NA,NA,NA,NA,"agapornis_fischeri"
"Agapornis personatus","Herbivore, Herbivore: Granivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Wood, bark, or stems, Seeds, grains, and nuts, Fruit","","","YES","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES",52.5,NA,NA,NA,NA,NA,NA,NA,"agapornis_personatus"
"Agapornis roseicollis","Herbivore, Herbivore: Granivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Seeds, grains, and nuts, Flowers","","","","YES","","","","YES","",NA,"","",NA,"","","","","","","YES","","","YES",54.8,NA,NA,NA,NA,NA,NA,NA,"agapornis_roseicollis"
"Agasicles hygrophila","Herbivore, Herbivore: Folivore, Herbivore: Lignivore","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Wood, bark, or stems","YES","","YES","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"agasicles_hygrophila"
"Agelaioides badius","Carnivore, Carnivore: Insectivore, Herbivore, Herbivore: Granivore","YES","",NA,"YES","","","YES","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",45,NA,NA,NA,NA,NA,NA,NA,"agelaioides_badius"
"Agelaius phoeniceus","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Birds, Amphibians, Reptiles, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","YES","","YES","YES","","YES","","","YES","YES","YES","","YES","","","","","","","Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts","","YES","YES","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",56.05,NA,NA,NA,NA,NA,NA,NA,"agelaius_phoeniceus"
"Agelaius tricolor","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES",59.5,NA,NA,NA,NA,NA,NA,NA,"agelaius_tricolor"
"Agkistrodon contortrix","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Carrion, Insects, Terrestrial Non-insect Arthropods","YES","YES","YES","YES","","","","","YES","YES","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"agkistrodon_contortrix"
"Agkistrodon piscivorus","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore","YES","YES",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Eggs, Carrion, Insects, Mollusks","YES","YES","YES","YES","YES","YES","","","YES","YES","","YES","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","YES","",1067.5,NA,NA,NA,NA,NA,NA,NA,"agkistrodon_piscivorus"
"Aglais io","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"aglais_io"
"Aglantha digitale","Carnivore, Carnivore: Eats non-insect arthropods, Planktivore","YES","",NA,"","","","","","","","","YES","","",NA,"Aquatic Crustaceans, Zooplankton","","","","","","","","","","","","","","","YES","","","","YES","Phytoplankton","","","","","","","","","",NA,"","",NA,"YES","Microbes","","","","YES","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"aglantha_digitale"
"Agraulis vanillae","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"agraulis_vanillae"
"Ailuroedus crassirostris","Herbivore, Herbivore: Folivore, Herbivore: Frugivore","","",NA,"","","","YES","YES","","","","","","",NA,"Birds, Reptiles, Insects","YES","","","YES","","","","","","YES","","","","","","","","","","Leaves, Fruit, Flowers","YES","","","","YES","","","YES","",NA,"","",NA,"","","","","","","YES","","","YES",207,NA,NA,NA,NA,NA,NA,NA,"ailuroedus_crassirostris"
"Ailuropoda melanoleuca","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"Mammals, Fish, Insects","","YES","","","YES","","","","","YES","","","","","","","","","","Leaves, Fruit","YES","","","","YES","","","","",NA,"","",NA,"","","","","","","YES","","","",102500,NA,NA,NA,NA,NA,NA,NA,"ailuropoda_melanoleuca"
"Ailurops ursinus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Fruit, Flowers","YES","","","","YES","","","YES","",NA,"","",NA,"","","","","","","YES","","","",7000,NA,NA,NA,NA,NA,NA,NA,"ailurops_ursinus"
"Ailurus fulgens","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"Eggs","","","","","","YES","","","","","","","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit, Flowers","YES","","","YES","YES","","","YES","",NA,"","",NA,"","","","","","","YES","","","YES",4950,NA,NA,NA,NA,NA,NA,NA,"ailurus_fulgens"
"Aimophila aestivalis","Carnivore, Carnivore: Insectivore, Herbivore, Herbivore: Granivore, Omnivore","YES","",NA,"YES","","","YES","","","","YES","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",21,NA,NA,NA,NA,NA,NA,NA,"aimophila_aestivalis"
"Aimophila ruficeps","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Leaves, Seeds, grains, and nuts","YES","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",19,NA,NA,NA,NA,NA,NA,NA,"aimophila_ruficeps"
"Aiptasia pallida","Planktivore","","",NA,"","","","","","","","","YES","","",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"aiptasia_pallida"
"Aix galericulata","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",560.5,NA,NA,NA,NA,NA,NA,NA,"aix_galericulata"
"Aix sponsa","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects, Terrestrial Non-insect Arthropods, Mollusks","","","","","","","","","","YES","YES","YES","","","","","","","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","",600,NA,NA,NA,NA,NA,NA,NA,"aix_sponsa"
"Ajaia ajaja","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",1036.97,NA,NA,NA,NA,NA,NA,NA,"ajaia_ajaja"
"Akodon aerosus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_aerosus"
"Akodon affinis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_affinis"
"Akodon albiventer","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_albiventer"
"Akodon azarae","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES",19,NA,NA,NA,NA,NA,NA,NA,"akodon_azarae"
"Akodon bogotensis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_bogotensis"
"Akodon boliviensis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_boliviensis"
"Akodon budini","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_budini"
"Akodon cursor","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Leaves, Seeds, grains, and nuts","YES","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","",42.5,NA,NA,NA,NA,NA,NA,NA,"akodon_cursor"
"Akodon dayi","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_dayi"
"Akodon dolores","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_dolores"
"Akodon fumeus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_fumeus"
"Akodon iniscatus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_iniscatus"
"Akodon juninensis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_juninensis"
"Akodon kofordi","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_kofordi"
"Akodon latebricola","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_latebricola"
"Akodon lindberghi","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_lindberghi"
"Akodon lutescens","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_lutescens"
"Akodon mimus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_mimus"
"Akodon molinae","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_molinae"
"Akodon mollis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_mollis"
"Akodon montensis","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","","","","","","","","","","YES","YES","","YES","","","","","","","Leaves, Roots and tubers, Seeds, grains, and nuts, Fruit","YES","YES","","YES","YES","","","","",NA,"","",NA,"","Fungus","YES","","","","YES","","","YES",42,NA,NA,NA,NA,NA,NA,NA,"akodon_montensis"
"Akodon neocenus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_neocenus"
"Akodon orophilus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_orophilus"
"Akodon philipmyersi","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",23,NA,NA,NA,NA,NA,NA,NA,"akodon_philipmyersi"
"Akodon sanctipaulensis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_sanctipaulensis"
"Akodon serrensis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_serrensis"
"Akodon siberiae","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_siberiae"
"Akodon simulator","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_simulator"
"Akodon spegazzinii","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_spegazzinii"
"Akodon subfuscus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_subfuscus"
"Akodon surdus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_surdus"
"Akodon sylvanus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_sylvanus"
"Akodon toba","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_toba"
"Akodon torques","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_torques"
"Akodon varius","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"akodon_varius"
