"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","species","bodymass_kg"
"Platyrrhinus lineatus","5218765","5218765","Chiroptera","Phyllostomidae","Platyrrhinus","ACCEPTED","Platyrrhinus lineatus","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","platyrrhinus_lineatus",0.022
"Platysternon megacephalum","2441884","2441884","Testudines","Platysternidae","Platysternon","ACCEPTED","Platysternon megacephalum","Carnivore, Carnivore: Piscivore, Carnivore: Molluscivore, Carnivore: Vermivore","YES","YES","","","YES","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","platysternon_megacephalum",NA
"Plecia nearctica","1590174","1590174","Diptera","Bibionidae","Plecia","ACCEPTED","Plecia nearctica","Herbivore, Herbivore: Folivore, Herbivore: Nectarivore","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","Leaves, Nectar, Pollen","YES","","","","","YES","YES","","","","","","","","","","","","","","YES","","","plecia_nearctica",NA
"Plecotus auritus","5218507","5218507","Chiroptera","Vespertilionidae","Plecotus","ACCEPTED","Plecotus auritus","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","","","Insects, Terrestrial Non-insect Arthropods","","","","","","",NA,"","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","plecotus_auritus",0.008
"Plecotus austriacus","5739437","5739437","Chiroptera","Vespertilionidae","Plecotus","ACCEPTED","Plecotus austriacus","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","","","Reptiles, Insects","","","","YES","","",NA,"","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","plecotus_austriacus",0.01
"Plectrophenax nivalis","2491719","2491719","Passeriformes","Calcariidae","Plectrophenax","ACCEPTED","Plectrophenax nivalis","Carnivore, Carnivore: Insectivore, Omnivore","YES","","","YES","","","","","","","YES","","","","","Insects, Terrestrial Non-insect Arthropods","","","","","","",NA,"","","YES","YES","","","","","","","","","Leaves, Seeds, grains, and nuts","YES","","","YES","","","","","","","","","","","","","","","","YES","","","","plectrophenax_nivalis",0.04
"Plegadis chihi","9375033","9375033","Pelecaniformes","Threskiornithidae","Plegadis","ACCEPTED","Plegadis chihi","Carnivore, Carnivore: Insectivore, Carnivore: Molluscivore","YES","","","YES","YES","","","","","","","","","","","Amphibians, Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms, Aquatic Crustaceans","","","YES","","","",NA,"","","YES","YES","YES","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","YES","plegadis_chihi",0.4875
"Plestiodon fasciatus","5789613","5789613","Squamata","Scincidae","Plestiodon","ACCEPTED","Plestiodon fasciatus","Carnivore, Carnivore: Eats non-insect arthropods","YES","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","plestiodon_fasciatus",NA
"Plestiodon laticeps","5789628","5789628","Squamata","Scincidae","Plestiodon","ACCEPTED","Plestiodon laticeps","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","","","Mammals, Reptiles, Insects, Terrestrial Non-insect Arthropods, Mollusks","","YES","","YES","","",NA,"","","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","plestiodon_laticeps",NA
"Plestiodon obsoletus","5789621","5789621","Squamata","Scincidae","Plestiodon","ACCEPTED","Plestiodon obsoletus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","","","YES","","","","","","","","","","","","Insects, Terrestrial Non-insect Arthropods","","","","","","",NA,"","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","plestiodon_obsoletus",0.027
"Plethobasus cyphyus","2287978","2287978","Unionida","Unionidae","Plethobasus","ACCEPTED","Plethobasus cyphyus","Herbivore, Herbivore: Algivore, Detritivore","","","","","","","YES","","","YES","","","","YES","","","","","","","","",NA,"","","","","","","","","","","","","Algae, Phytoplankton","","","","","","","","","","","","YES","","YES","Detritus, Microbes","","YES","","YES","","YES","YES","","plethobasus_cyphyus",NA
"Plethodon cinereus","2431491","2431491","Caudata","Plethodontidae","Plethodon","ACCEPTED","Plethodon cinereus","Carnivore, Carnivore: Eats non-insect arthropods","YES","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","plethodon_cinereus",0.0005
"Plethodon cylindraceus","2431489","2431489","Caudata","Plethodontidae","Plethodon","ACCEPTED","Plethodon cylindraceus","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","","","Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","","","","","","",NA,"","","YES","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","","plethodon_cylindraceus",NA
"Plethodon glutinosus","2431539","2431539","Caudata","Plethodontidae","Plethodon","ACCEPTED","Plethodon glutinosus","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","plethodon_glutinosus",0.0042
"Plethodon jordani","2431529","2431529","Caudata","Plethodontidae","Plethodon","ACCEPTED","Plethodon jordani","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Vermivore, Herbivore, Herbivore: Folivore","YES","","","YES","YES","","YES","","","","","","","","","Insects, Mollusks, Terrestrial Worms","","","","","","",NA,"","","YES","","YES","YES","","","","","","","Wood, bark, or stems, Flowers","","","YES","","","","","YES","","","","","","","","","","","","","YES","YES","","plethodon_jordani",NA
"Plethodon nettingi","2431478","2431478","Caudata","Plethodontidae","Plethodon","ACCEPTED","Plethodon nettingi","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","","","YES","","","","","","","","","","","","Insects, Terrestrial Non-insect Arthropods","","","","","","",NA,"","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","","plethodon_nettingi",NA
"Plethodon richmondi","2431521","2431521","Caudata","Plethodontidae","Plethodon","ACCEPTED","Plethodon richmondi","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","plethodon_richmondi",NA
"Plethodon serratus","2431510","2431510","Caudata","Plethodontidae","Plethodon","ACCEPTED","Plethodon serratus","Carnivore, Carnivore: Insectivore, Carnivore: Molluscivore, Carnivore: Vermivore","YES","","","YES","YES","","","","","","","","","","","Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms","","","","","","",NA,"","","YES","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","","plethodon_serratus",NA
"Pleurobema clava","2288099","2288099","Unionida","Unionidae","Pleurobema","ACCEPTED","Pleurobema clava","Planktivore, Detritivore","","","","","","","","","","","","YES","","YES","","","","","","","","",NA,"","","","","","","","","","","","","Algae, Phytoplankton","","","","","","","","","","","","YES","","YES","Detritus, Microbes","","YES","","YES","","YES","YES","","pleurobema_clava",NA
"Pleurobema sintoxia","2288065","2288093","Unionida","Unionidae","Pleurobema","SYNONYM","Pleurobema coccineum","Planktivore, Detritivore","","","","","","","","","","","","YES","","YES","","","","","","","","",NA,"","","","","","","","","","","","","Algae, Phytoplankton","","","","","","","","","","","","YES","","YES","Detritus, Microbes","","YES","","YES","","YES","YES","","pleurobema_coccineum",NA
"Pleurobema sintoxia","2288065","2288065","Unionida","Unionidae","Pleurobema","ACCEPTED","Pleurobema sintoxia","Planktivore, Detritivore","","","","","","","","","","","","YES","","YES","","","","","","","","",NA,"","","","","","","","","","","","","Algae, Phytoplankton","","","","","","","","","","","","YES","","YES","Detritus, Microbes","","YES","","YES","","YES","YES","","pleurobema_sintoxia",NA
"Triplofusus giganteus","6505171","2303942","Neogastropoda","Fasciolariidae","Triplofusus","SYNONYM","Pleuroploca gigantea","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","pleuroploca_gigantea",NA
"Pluvialis dominica","2480328","2480328","Charadriiformes","Charadriidae","Pluvialis","ACCEPTED","Pluvialis dominica","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Herbivore, Herbivore: Frugivore","YES","","","YES","YES","","YES","YES","","","","","","","","Fish, Insects, Mollusks, Terrestrial Worms, Aquatic or Marine Worms, Aquatic Crustaceans, Other Marine Invertebrates","","","","","YES","",NA,"","","YES","","YES","YES","YES","YES","","","YES","","Fruit","","","","","YES","","","","","","","","","","","","","","","YES","","","YES","pluvialis_dominica",0.1446
"Podiceps auritus","2482059","2482059","Podicipediformes","Podicipedidae","Podiceps","ACCEPTED","Podiceps auritus","Carnivore, Carnivore: Piscivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore","YES","YES","","YES","YES","","","","","","","","","","","Amphibians, Fish, Insects, Mollusks, Terrestrial Worms, Aquatic Crustaceans","","","YES","","YES","",NA,"","","YES","","YES","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","podiceps_auritus",0.435
"Podiceps cristatus","2482054","2482054","Podicipediformes","Podicipedidae","Podiceps","ACCEPTED","Podiceps cristatus","Carnivore, Carnivore: Piscivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore","YES","YES","","YES","YES","","","","","","","","","","","Amphibians, Fish, Insects, Mollusks, Aquatic Crustaceans, Other Marine Invertebrates","","","YES","","YES","",NA,"","","YES","","YES","","","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","YES","","","YES","podiceps_cristatus",1.145
"Podiceps grisegena","2482051","2482051","Podicipediformes","Podicipedidae","Podiceps","ACCEPTED","Podiceps grisegena","Carnivore, Carnivore: Piscivore","YES","YES","","","","","","","","","","","","","","Amphibians, Fish, Insects, Terrestrial Worms, Aquatic Crustaceans, Other Marine Invertebrates","","","YES","","YES","",NA,"","","YES","","","YES","","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","YES","","","YES","podiceps_grisegena",1.2
"Podilymbus podiceps","2482077","2482077","Podicipediformes","Podicipedidae","Podilymbus","ACCEPTED","Podilymbus podiceps","Carnivore, Carnivore: Piscivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","YES","","YES","","","","","","","","","","","","Fish, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms, Aquatic Crustaceans","","","","","YES","",NA,"","","YES","YES","","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","podilymbus_podiceps",0.45
"Podogymnura truei","2437119","2437119","Erinaceomorpha","Erinaceidae","Podogymnura","ACCEPTED","Podogymnura truei","Carnivore, Carnivore: Insectivore, Carnivore: Vermivore","YES","","","YES","","","","","","","","","","","","Carrion, Insects, Terrestrial Worms","","","","","","",NA,"","YES","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","podogymnura_truei",NA
"Podomys floridanus","2438245","2438245","Rodentia","Cricetidae","Podomys","ACCEPTED","Podomys floridanus","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","podomys_floridanus",0.0325
"Poecilogale albinucha","2433887","2433887","Carnivora","Mustelidae","Poecilogale","ACCEPTED","Poecilogale albinucha","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","poecilogale_albinucha",0.305
"Poelagus marjorita","2436948","2436948","Lagomorpha","Leporidae","Poelagus","ACCEPTED","Poelagus marjorita","Herbivore, Herbivore: Folivore, Coprophage","","","","","","","YES","","","","","","","","YES","","","","","","","",NA,"","","","","","","","","","","","","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts, Flowers","YES","YES","YES","YES","","","","YES","","","","","","","","","","","","YES","","","","poelagus_marjorita",2.5
"Pogonias cromis","5212349","5212349","Perciformes","Sciaenidae","Pogonias","ACCEPTED","Pogonias cromis","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","YES","","pogonias_cromis",19
"Poiana richardsonii","2434629","2434629","Carnivora","Viverridae","Poiana","ACCEPTED","Poiana richardsonii","Omnivore","","","","","","","","","","","YES","","","","","Birds, Mammals, Insects","YES","YES","","","","",NA,"","","YES","","","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","","","","","","","","","","","","YES","","","","poiana_richardsonii",0.6
"Poicephalus senegalus","2479964","2479964","Psittaciformes","Psittacidae","Poicephalus","ACCEPTED","Poicephalus senegalus","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","poicephalus_senegalus",0.12
"Polemaetus bellicosus","2480426","2480426","Accipitriformes","Accipitridae","Polemaetus","ACCEPTED","Polemaetus bellicosus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","","","","","","","","","","","","","","","Birds, Mammals, Amphibians, Reptiles","YES","YES","YES","YES","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","YES","polemaetus_bellicosus",4.65
"Polihierax semitorquatus","2481096","2481096","Falconiformes","Falconidae","Polihierax","ACCEPTED","Polihierax semitorquatus","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","","","Birds, Mammals, Reptiles, Insects","YES","YES","","YES","","",NA,"","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","YES","polihierax_semitorquatus",0.065
"Polioptila caerulea","2487596","2487596","Passeriformes","Polioptilidae","Polioptila","ACCEPTED","Polioptila caerulea","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","polioptila_caerulea",0.0065
"Polioptila melanura","2487586","2487586","Passeriformes","Polioptilidae","Polioptila","ACCEPTED","Polioptila melanura","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","","","Insects, Terrestrial Non-insect Arthropods","","","","","","",NA,"","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","polioptila_melanura",0.005
"Polistes dominula","5871389","5871389","Hymenoptera","Eumenidae","Polistes","ACCEPTED","Polistes dominula","Carnivore, Carnivore: Insectivore, Herbivore, Herbivore: Frugivore, Herbivore: Nectarivore, Omnivore","YES","","","YES","","","YES","YES","","","YES","","","","","Insects","","","","","","",NA,"","","YES","","","","","","","","","","Fruit, Nectar","","","","","YES","YES","","","","","","","","","","","","","","","YES","","","polistes_dominula",NA
"Polistes fuscatus","1310556","1310556","Hymenoptera","Eumenidae","Polistes","ACCEPTED","Polistes fuscatus","Omnivore","","","","","","","","","","","YES","","","","","Insects","","","","","","",NA,"","","YES","","","","","","","","","","Nectar","","","","","","YES","","","","","","","","","","","","","","","YES","YES","","polistes_fuscatus",NA
"Polites peckius","1943982","1943982","Lepidoptera","Hesperiidae","Polites","ACCEPTED","Polites peckius","Herbivore, Herbivore: Folivore, Herbivore: Nectarivore","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","Leaves, Nectar","YES","","","","","YES","","","","","","","","","","","","","","","YES","YES","","polites_peckius",NA
"Pollachius virens","2415861","2415861","Gadiformes","Gadidae","Pollachius","ACCEPTED","Pollachius virens","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore","YES","YES","","","YES","","","","","","","","","","","Fish, Mollusks, Aquatic Crustaceans","","","","","YES","",NA,"","","","","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","","pollachius_virens",2.75
"Pollicipes polymerus","2113807","2113807","Pedunculata","Pollicipedidae","Pollicipes","ACCEPTED","Pollicipes polymerus","Planktivore","","","","","","","","","","","","YES","","","","Mollusks, Zooplankton","","","","","","",NA,"","","","","YES","","","","","","","YES","Phytoplankton","","","","","","","","","","","","","","YES","","","","","","","YES","","","pollicipes_polymerus",NA
"Polygonia comma","5129430","5129430","Lepidoptera","Nymphalidae","Polygonia","ACCEPTED","Polygonia comma","Herbivore, Herbivore: Folivore, Herbivore: Lignivore, Herbivore: Eats sap or other plant foods","","","","","","","YES","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","Leaves, Wood, bark, or stems, Sap or other plant fluids","YES","","YES","","","","","","YES","","","","","","","","","","","","YES","YES","","polygonia_comma",NA
"Polygonia progne","5129432","5129432","Lepidoptera","Nymphalidae","Polygonia","ACCEPTED","Polygonia progne","Herbivore, Herbivore: Folivore, Herbivore: Nectarivore","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","Leaves, Nectar, Sap or other plant fluids","YES","","","","","YES","","","YES","","","","","","","","","","","","YES","YES","","polygonia_progne",NA
"Polyodon spathula","5212833","5212833","Acipenseriformes","Polyodontidae","Polyodon","ACCEPTED","Polyodon spathula","Planktivore","","","","","","","","","","","","YES","","","","Insects, Aquatic Crustaceans, Zooplankton","","","","","","",NA,"","","YES","","","","","YES","","","","YES","","","","","","","","","","","","","","","","","","","","","","YES","YES","","polyodon_spathula",31.5
"Polystoma nearcticum","5233457","5233457","Polystomatidea","Polystomatidae","Polystoma","ACCEPTED","Polystoma nearcticum","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","polystoma_nearcticum",NA
"Polytelis alexandrae","2479497","2479497","Psittaciformes","Psittacidae","Polytelis","ACCEPTED","Polytelis alexandrae","Herbivore, Herbivore: Folivore, Herbivore: Frugivore, Herbivore: Granivore","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","Seeds, grains, and nuts, Fruit, Flowers","","","","YES","YES","","","YES","","","","","","","","","","","","YES","","","","polytelis_alexandrae",0.1134
"Pomacanthus annularis","2396404","2396404","Perciformes","Pomacanthidae","Pomacanthus","ACCEPTED","Pomacanthus annularis","Carnivore, Carnivore: Piscivore, Carnivore: Eats other marine invertebrates, Herbivore, Herbivore: Folivore, Herbivore: Algivore, Omnivore, Planktivore","YES","YES","","","","YES","YES","","","YES","YES","YES","","","","Cnidarians, Other Marine Invertebrates","","","","","","",NA,"","","","","","","","","","YES","YES","","Leaves, Algae","YES","","","","","","","","","","","YES","","","","","","","","","","","","pomacanthus_annularis",NA
"Pomacea canaliculata","2292582","2292582","Architaenioglossa","Ampullariidae","Pomacea","ACCEPTED","Pomacea canaliculata","Carnivore, Carnivore: Molluscivore, Herbivore, Herbivore: Folivore, Herbivore: Algivore, Herbivore: Eats sap or other plant foods, Omnivore, Detritivore","YES","","","","YES","","YES","","","YES","YES","","","YES","","Mollusks, Zooplankton","","","","","","",NA,"","","","","YES","","","","","","","YES","Leaves, Algae, Macroalgae, Phytoplankton","YES","","","","","","","","","","","YES","YES","YES","Detritus","","YES","","","","YES","YES","","pomacea_canaliculata",NA
"Pomatomus saltatrix","5208090","5208090","Perciformes","Pomatomidae","Pomatomus","ACCEPTED","Pomatomus saltatrix","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","","pomatomus_saltatrix",4
"Pomoxis annularis","2394534","2394534","Perciformes","Centrarchidae","Pomoxis","ACCEPTED","Pomoxis annularis","Carnivore, Carnivore: Piscivore","YES","YES","","","","","","","","","","","","","","Fish, Insects, Zooplankton","","","","","YES","",NA,"","","YES","","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","YES","","","pomoxis_annularis",0.91
"Pomoxis nigromaculatus","2394526","2394526","Perciformes","Centrarchidae","Pomoxis","ACCEPTED","Pomoxis nigromaculatus","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pomoxis_nigromaculatus",0.00057
"Pongo abelii","5707420","5707420","Primates","Hominidae","Pongo","ACCEPTED","Pongo abelii","Herbivore, Herbivore: Frugivore","","","","","","","YES","YES","","","","","","","","Eggs, Insects","","","","","","YES",NA,"","","YES","","","","","","","","","","Leaves, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Flowers","YES","","YES","YES","YES","","","YES","","","","","","","","","","","","YES","","","YES","pongo_abelii",60
"Pongo pygmaeus","5219532","5219532","Primates","Hominidae","Pongo","ACCEPTED","Pongo pygmaeus","Herbivore, Herbivore: Frugivore","","","","","","","YES","YES","","","","","","","","Eggs, Insects, Terrestrial Worms","","","","","","YES",NA,"","","YES","","","YES","","","","","","","Leaves, Roots and tubers, Wood, bark, or stems, Fruit, Nectar, Flowers, Sap or other plant fluids","YES","YES","YES","","YES","YES","","YES","YES","","","","","","Fungus, Detritus","YES","YES","","","YES","","","","pongo_pygmaeus",87
"Pontoporia blainvillei","5220001","5220001","Cetacea","Pontoporiidae","Pontoporia","ACCEPTED","Pontoporia blainvillei","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods, Carnivore: Eats other marine invertebrates","YES","YES","","","","YES","","","","","","","","","","Fish, Mollusks, Aquatic Crustaceans","","","","","YES","",NA,"","","","","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","pontoporia_blainvillei",40.5
"Popillia japonica","4425774","4425774","Coleoptera","Rutelidae","Popillia","ACCEPTED","Popillia japonica","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","popillia_japonica",NA
"Porcellio scaber","6284337","6284337","Isopoda","Porcellionidae","Porcellio","ACCEPTED","Porcellio scaber","Carnivore, Carnivore: Scavenger, Herbivore, Herbivore: Folivore, Herbivore: Frugivore, Omnivore, Mycophage, Detritivore, Coprophage","YES","","","","","","YES","YES","","","YES","","YES","YES","YES","Carrion","","","","","","",NA,"","YES","","","","","","","","","","","Leaves, Roots and tubers, Wood, bark, or stems, Fruit","YES","YES","YES","","YES","","","","","","","","","","Fungus, Detritus, Dung, Microbes","YES","YES","YES","YES","","YES","","","porcellio_scaber",NA
"Porocephalus crotali","2114098","2114098","Porocephalida","Porocephalidae","Porocephalus","ACCEPTED","Porocephalus crotali","Carnivore, Carnivore: Sanguivore, Carnivore: Eats body fluids","YES","","YES","","","","","","","","","","","","","Body fluids","","","","","","",NA,"YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","","porocephalus_crotali",NA
"Porphyrio hochstetteri","5228153","5228153","Gruiformes","Rallidae","Porphyrio","ACCEPTED","Porphyrio hochstetteri","Herbivore, Herbivore: Folivore","","","","","","","YES","","","","","","","","","Insects","","","","","","",NA,"","","YES","","","","","","","","","","Leaves, Roots and tubers, Seeds, grains, and nuts","YES","YES","","YES","","","","","","","","","","","","","","","","YES","","","YES","porphyrio_hochstetteri",NA
"Porphyrio porphyrio","2474416","2474416","Gruiformes","Rallidae","Porphyrio","ACCEPTED","Porphyrio porphyrio","Omnivore","","","","","","","","","","","YES","","","","","Birds, Amphibians, Reptiles, Fish, Eggs, Insects, Terrestrial Non-insect Arthropods, Mollusks","YES","","YES","YES","YES","YES",NA,"","","YES","YES","YES","","","","","","","","Leaves, Roots and tubers","YES","YES","","","","","","","","","","","","","","","","","","YES","","","YES","porphyrio_porphyrio",0.95
"Portia fimbriata","5173485","5173485","Araneae","Salticidae","Portia","ACCEPTED","Portia fimbriata","Carnivore, Carnivore: Eats non-insect arthropods","YES","","","","","","","","","","","","","","","Eggs, Insects, Terrestrial Non-insect Arthropods","","","","","","YES",NA,"","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","YES","","portia_fimbriata",NA
"Porzana carolina","2474639","2474639","Gruiformes","Rallidae","Porzana","ACCEPTED","Porzana carolina","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","porzana_carolina",NA
"Potamilus alatus","2287985","2287985","Unionida","Unionidae","Potamilus","ACCEPTED","Potamilus alatus","Planktivore, Detritivore","","","","","","","","","","","","YES","","YES","","","","","","","","",NA,"","","","","","","","","","","","","Algae, Phytoplankton","","","","","","","","","","","","YES","","YES","Detritus, Microbes","","YES","","YES","","YES","YES","","potamilus_alatus",NA
"Potamilus ohiensis","2287984","2287984","Unionida","Unionidae","Potamilus","ACCEPTED","Potamilus ohiensis","Planktivore, Detritivore","","","","","","","","","","","","YES","","YES","","","","","","","","",NA,"","","","","","","","","","","","","Algae, Phytoplankton","","","","","","","","","","","","YES","","YES","Detritus, Microbes","","YES","","YES","","YES","YES","","potamilus_ohiensis",NA
"Potamochoerus larvatus","2441226","2441226","Artiodactyla","Suidae","Potamochoerus","ACCEPTED","Potamochoerus larvatus","Omnivore","","","","","","","","","","","YES","","","","","Birds, Mammals, Amphibians, Reptiles, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods, Mollusks","YES","YES","YES","YES","","YES",NA,"","YES","YES","YES","YES","","","","","","","","Roots and tubers, Seeds, grains, and nuts, Fruit","","YES","","YES","YES","","","","","","","","","","","","","","","YES","","","YES","potamochoerus_larvatus",84.5
"Potamochoerus porcus","2441225","2441225","Artiodactyla","Suidae","Potamochoerus","ACCEPTED","Potamochoerus porcus","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","potamochoerus_porcus",88
"Potamogale velox","2432147","2432147","Afrosoricida","Tenrecidae","Potamogale","ACCEPTED","Potamogale velox","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore","YES","YES","","YES","YES","","","","","","","","","","","Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Mollusks","","","YES","","YES","",NA,"","","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","YES","","","","potamogale_velox",0.625
