Family,Genus,CommonName,Species,Species (ITIS),TrophicGuild,Refs,Fruit,Leaves,Flowers,Seeds,Animal,Gums,Nectar,Other,Region,Country,Data_type,Study_duration_months,N_groups,Mean_individuals,Comments,
Cebidae,Cebus,Humboldt_s_White_fronted_Capuchin,Cebus_albifrons,Cebus_albifrons,Omnivore,497,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"The diet of C. albifrons includes fruits, small invertebrates, their eggs and larvae, small mammals, lizards, and bird’s eggs. They especially like to eat ant and wasp larvae, and are adept at robbing beehives for honey.",
Cebidae,Cebus,Venezuelan_Brown_Capuchin,Cebus_brunneus,Cebus_brunneus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cebidae,Cebus,Colombian_White_faced_Capuchin,Cebus_capucinus,Cebus_capucinus,Omnivore,502,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Mainly ripe fruits and insects, but also leaves, flowrs and bird eggs.",
Cebidae,Cebus,Río_Cesar_White_fronted_Capuchin,Cebus_cesarae,Cebus_cesarae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cebidae,Cebus,Shock_headed_Capuchin,Cebus_cuscinus,Cebus_cuscinus,Omnivore,504,53-99,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,Fruit and insects are the principal components. Fruit comprises 99% of the plant part ot the diet in the wet season and 53% in the dry season.,
Cebidae,Cebus,Panamanian_White_faced_Capuchin,Cebus_imitator,Cebus_imitator,Omnivore,508,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Includes fruits, insects, snails, crabs, clams, slugs, frogs, lizards, nestling and Coati pups, and tree rats. They also eat eggs",
Cebidae,Cebus,Ka_apor_Capuchin,Cebus_kaapori,Cebus_kaapori,Omnivore,36,74,NI,NI,10,13,NI,NI,3,Goianésia do Pará,Brazil,Feeding records (%),4,1,9,NI,
Cebidae,Cebus,Sierra_de_Perijá_White_fronted_Capuchin,Cebus_leucocephalus,Cebus_leucocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cebidae,Cebus,Santa_Marta_White_fronted_Capuchin,Cebus_malitiosus,Cebus_malitiosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cebidae,Cebus,Guianan_Weeper_Capuchin,Cebus_olivaceus,Cebus_olivaceus,Omnivore,515,42,NI,1,,28,NI,1,28,NI,NI,Feeding records (%),24,NI,NI,NI,
Cebidae,Cebus,Spix_s_White_fronted_Capuchin,Cebus_unicolor,Cebus_unicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cebidae,Cebus,Varied_White_fronted_Capuchin,Cebus_versicolor,Cebus_versicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cebidae,Cebus,Marañón_White_fronted_Capuchin,Cebus_yuracus,Cebus_yuracus,Omnivore,504,10,NI,NI,NI,54,NI,NI,NI,Tiputini,Ecuador,NI,NI,1,NI,"Includes fruits, flowers, seeds, insects and other arthropods, bird eggs and small vertebrates. In a study at Tiputini a group spent c- 10% of their day feeding on fruits and 54% foraging for animal prey.",
Tarsiidae,Cephalopachus,Western_Tarsier,Cephalopachus_bancanus,Cephalopachus_bancanus,Insectivore,1148,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"All tarsiers are 100% carnivorous and eat only live-caught animal prey. There are no data that allow for direct comparisons of diet among species; thus is not known if reported differences in diet are due to availability, sampling or actual differences. Is reported to eat mainly insects, including beetles, grasshoppers, cockroaches moths butterflies...",
Cercopithecidae,Cercocebus,Agile_Mangabey,Cercocebus_agilis,Cercocebus_agilis,Frugivore,520,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercocebus,Sooty_Mangabey,Cercocebus_atys,Cercocebus_atys,Frugivore,523,20,1,1.3,58,13,NI,NI,6.7,Taï Forest,Côte d’Ivoire,Feeding records (%),12,1,115,,
Cercopithecidae,Cercocebus,Golden_bellied_Mangabey,Cercocebus_chrysogaster,Cercocebus_chrysogaster,Frugivore,155,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Presumed to be mainly fruits, such as figs, sugar plums, dika nuts, raphia and dwarf datepalms",
Cercopithecidae,Cercocebus,Tana_River_Mangabey,Cercocebus_galeritus,Cercocebus_galeritus,Frugivore,526,61.4,2.5,1.9,18,NI,0.6,NI,15.6,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercocebus,White_naped_Mangabey,Cercocebus_lunulatus,Cercocebus_lunulatus,Frugivore,517,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,NI,"Mainly fruits, along with seeds, other plant material and some animal prey",
Cercopithecidae,Cercocebus,Sanje_River_Mangabey,Cercocebus_sanjei,Cercocebus_sanjei,Frugivore,529,50,4,2,27,11,1,0,5,NI,NI,NI,NI,NI,NI,NI,
Cercopithecidae,Cercocebus,Red_capped_Mangabey,Cercocebus_torquatus,Cercocebus_torquatus,Frugivore,530,60,NI,NI,20,NI,NI,NI,NI,Campo Animal Reserve,Cameroon,Feeding records (%),15,NI,NI,NI,
