"Ref	Cite_in	DOI	Classe	Sous classe	Super ordre	Ordre	Sous ordre	Famille	Genus	Species	Functional_group	Diet_type	Diet_type_ajout	Ref_ajout_diet	C_mean	C_sd	N_mean	N_sd	P_mean	P_sd	P_MinMax	C/N_mean	C/N_sd	C/P_mean	C/P_sd	N/P	DryMass (g)	DryMass_sd (g)	DryMass_ajout	DryMass_sd_ajout	Ref_ajout_DryMass	WetMass (g)	WetMass_ajout	Ref_ajout_WetMass	Body_length(m)	Body_length_sd(m)	C_mean_sample_size	N_mean_sample-size	P_mean_sample_size	Mass_sample_size	Age_Stage(???)	Biome	Biome ajout	Ref biome ajout	Stoichio data source	Body_mass data source	Observation	Agent	Organism_source	Stoichio_analysis	Nitrogen_calc_from_prot	Ratio_method";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	musteus	Microbe				43.6		3.1					16.41																									JS	BA				molar";
"Lavola_et_al_2011	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	necator	Microbe								0.51																												JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	necator	Microbe				44.5		3.5					14.83																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	obscuratus	Microbe				43		5.7					8.8																									JS	BA				molar";
"Cvetkovic_et_al_2015	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	piperatus	Microbe								0.55																												JS	BA				molar";
"Gencelep_et_al_2009	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	piperatus	Microbe								0.31																												JS	BA				molar";
"Vetter_1990	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	piperatus	Microbe								0.44																												JS	BA				molar";
"Edmonds_&_Lebo_1998	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	pseudomucidus	Microbe						3.66		0.54							15.06																					JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	repraesentaneus	Microbe				44.1		3.2					16.08																									JS	BA				molar";
"Lavola_et_al_2011	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	rufus	Microbe								0.61																												JS	BA				molar";
"Rudawska_&_Leski_2005	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	rufus	Microbe						2.94		0.42							15.5																					JS	BA				molar";
"Rudawska_&_Leski_2005	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	rufus	Microbe						3.6		0.51							15.63																					JS	BA				molar";
"Rudawska_&_Leski_2005	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	rufus	Microbe						2.38		0.33							15.97																					JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	rufus	Microbe				44.2		3.6					14.32																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	rufus	Microbe						3.9																														JS	BA				molar";
"Tel_et_al_2014	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	salmonicolor	Microbe								0.24																												JS	BA				molar";
"Vogt_&_Edmonds_1980	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	sanguifluus	Microbe						2.81		0.63							9.88																					JS	BA				molar";
