"mentionned_species","canonical_names","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"Ammodillus imbellis","Ammodillus imbellis",2438331,"ACCEPTED","EXACT","Ammodillus imbellis",2438331,"Rodentia","Muridae"
"Ammodorcas clarkei","Ammodorcas clarkei",2441128,"ACCEPTED","EXACT","Ammodorcas clarkei",2441128,"Artiodactyla","Bovidae"
"Ammoperdix griseogularis","Ammoperdix griseogularis",2473732,"ACCEPTED","EXACT","Ammoperdix griseogularis",2473732,"Galliformes","Phasianidae"
"Ammoperdix heyi","Ammoperdix heyi",2473733,"ACCEPTED","EXACT","Ammoperdix heyi",2473733,"Galliformes","Phasianidae"
"Ammospermophilus harrisii","Ammospermophilus harrisii",2437568,"ACCEPTED","EXACT","Ammospermophilus harrisii",2437568,"Rodentia","Sciuridae"
"Ammospermophilus insularis","Ammospermophilus insularis",2437572,"ACCEPTED","EXACT","Ammospermophilus insularis",2437572,"Rodentia","Sciuridae"
"Ammospermophilus interpres","Ammospermophilus interpres",2437571,"ACCEPTED","EXACT","Ammospermophilus interpres",2437571,"Rodentia","Sciuridae"
"Ammospermophilus leucurus","Ammospermophilus leucurus",2437570,"ACCEPTED","EXACT","Ammospermophilus leucurus",2437570,"Rodentia","Sciuridae"
"Ammospermophilus nelsoni","Ammospermophilus nelsoni",2437569,"ACCEPTED","EXACT","Ammospermophilus nelsoni",2437569,"Rodentia","Sciuridae"
"Ammotragus lervia","Ammotragus lervia",2441005,"ACCEPTED","EXACT","Ammotragus lervia",2441005,"Artiodactyla","Bovidae"
"Amorphochilus schnablii","Amorphochilus schnablii",2432771,"ACCEPTED","EXACT","Amorphochilus schnablii",2432771,"Chiroptera","Furipteridae"
"Amphinectomys savamis","Amphinectomys savamis",4265007,"ACCEPTED","EXACT","Amphinectomys savamis",4265007,"Rodentia","Cricetidae"
"Anathana ellioti","Anathana ellioti",2436266,"ACCEPTED","EXACT","Anathana ellioti",2436266,"Scandentia","Tupaiidae"
"Andalgalomys olrogi","Andalgalomys olrogi",2438727,"ACCEPTED","EXACT","Andalgalomys olrogi",2438727,"Rodentia","Cricetidae"
"Andalgalomys pearsoni","Andalgalomys pearsoni",2438726,"ACCEPTED","EXACT","Andalgalomys pearsoni",2438726,"Rodentia","Cricetidae"
"Andalgalomys roigi","Andalgalomys roigi",4265145,"ACCEPTED","EXACT","Andalgalomys roigi",4265145,"Rodentia","Cricetidae"
"Andinomys edax","Andinomys edax",2438956,"ACCEPTED","EXACT","Andinomys edax",2438956,"Rodentia","Cricetidae"
"Anisomys imitator","Anisomys imitator",2438052,"ACCEPTED","EXACT","Anisomys imitator",2438052,"Rodentia","Muridae"
"Anomalurus beecrofti","Anomalurus beecrofti",5219881,"ACCEPTED","EXACT","Anomalurus beecrofti",5219881,"Rodentia","Anomaluridae"
"Anomalurus derbianus","Anomalurus derbianus",5219879,"ACCEPTED","EXACT","Anomalurus derbianus",5219879,"Rodentia","Anomaluridae"
"Anomalurus pelii","Anomalurus pelii",5219882,"ACCEPTED","EXACT","Anomalurus pelii",5219882,"Rodentia","Anomaluridae"
"Anomalurus pusillus","Anomalurus pusillus",5219880,"ACCEPTED","EXACT","Anomalurus pusillus",5219880,"Rodentia","Anomaluridae"
"Anonymomys mindorensis","Anonymomys mindorensis",2437876,"ACCEPTED","EXACT","Anonymomys mindorensis",2437876,"Rodentia","Muridae"
"Anotomys leander","Anotomys leander",2438903,"ACCEPTED","EXACT","Anotomys leander",2438903,"Rodentia","Cricetidae"
"Anoura caudifer","Anoura caudifer",5963040,"ACCEPTED","EXACT","Anoura caudifer",5963040,"Chiroptera","Phyllostomidae"
"Anoura cultrata","Anoura cultrata",5963042,"ACCEPTED","EXACT","Anoura cultrata",5963042,"Chiroptera","Phyllostomidae"
