Species;C (mg/g);N (mg/g);P (mg/g);date;day;month;year;data;location;period;feces_ID
Waterbuck;379.0;10.30;2.32;End of July 2009;NA;7;2009;NA1;;dry;209
Wildebeest;362.0;11.70;3.04;End of July 2009;NA;7;2009;NA1;SA;dry;210
Wildebeest;360.0;11.60;3.51;End of July 2009;NA;7;2009;NA1;SA;dry;211
Wildebeest;362.0;10.80;3.35;End of July 2009;NA;7;2009;NA1;SA;dry;212
Wildebeest;361.0;11.10;3.53;End of July 2009;NA;7;2009;NA1;SA;dry;213
Wildebeest;360.0;11.20;3.12;End of July 2009;NA;7;2009;NA1;SA;dry;214
Buffalo;;9.45;1.98;January 2010;NA;1;2010;NA4;MK;wet;215
Buffalo;;15.22;2.35;January 2010;NA;1;2010;NA4;MK;wet;216
Buffalo;;14.36;2.56;January 2010;NA;1;2010;NA4;MK;wet;217
Buffalo;;18.45;2.93;January 2010;NA;1;2010;NA4;MK;wet;218
Bushbuck;;23.56;3.84;January 2010;NA;1;2010;NA4;SA;wet;219
Bushbuck;;23.86;4.44;January 2010;NA;1;2010;NA4;SA;wet;220
Elephant;;13.56;1.36;January 2010;NA;1;2010;NA4;MK;wet;221
Elephant;;14.51;1.35;January 2010;NA;1;2010;NA4;SA;wet;222
Elephant;;19.90;1.79;January 2010;NA;1;2010;NA4;MK;wet;223
Elephant;;19.00;1.47;January 2010;NA;1;2010;NA4;MK;wet;224
Giraffe;;30.50;2.66;January 2010;NA;1;2010;NA4;MK;wet;225
Giraffe;;30.81;3.07;January 2010;NA;1;2010;NA4;MK;wet;226
Giraffe;;35.56;3.05;January 2010;NA;1;2010;NA4;SA;wet;227
Giraffe;;36.10;3.30;January 2010;NA;1;2010;NA4;SA;wet;228
Giraffe;;39.68;3.26;January 2010;NA;1;2010;NA4;MK;wet;229
Grey duiker;421.8;27.84;3.52;January 2010;NA;1;2010;NA4;MK;wet;230
Grey duiker;446.2;31.09;3.83;January 2010;NA;1;2010;NA4;SA;wet;231
Grey duiker;438.0;27.69;4.80;January 2010;NA;1;2010;NA4;SA;wet;232
Grey duiker;421.8;30.07;3.19;January 2010;NA;1;2010;NA4;SA;wet;233
Hare;;17.16;1.72;January 2010;NA;1;2010;NA4;SA;wet;234
Hare;;14.40;0.99;January 2010;NA;1;2010;NA4;MK;wet;235
Hare;;19.28;1.63;January 2010;NA;1;2010;NA4;MK;wet;236
Rat;;7.10;1.08;January 2010;NA;1;2010;NA4;SA;wet;237
Rat;;9.09;1.48;January 2010;NA;1;2010;NA4;SA;wet;238
Rat;;14.13;2.45;January 2010;NA;1;2010;NA4;MK;wet;239
Rat;;13.86;2.35;January 2010;NA;1;2010;NA4;MK;wet;240
Rat;;13.04;1.80;January 2010;NA;1;2010;NA4;MK;wet;241
Rat;;14.21;1.91;January 2010;NA;1;2010;NA4;MK;wet;242
Reedbuck;;18.64;3.36;January 2010;NA;1;2010;NA4;SA;wet;243
Warthog;;7.65;1.34;January 2010;NA;1;2010;NA4;MK;wet;244
Warthog;;14.03;3.09;January 2010;NA;1;2010;NA4;MK;wet;245
Warthog;;19.78;3.28;January 2010;NA;1;2010;NA4;MK;wet;246
Waterbuck;;18.82;5.16;January 2010;NA;1;2010;NA4;MK;wet;247
Wildebeest;;17.11;3.04;January 2010;NA;1;2010;NA4;SA;wet;248
Wildebeest;;19.89;2.59;January 2010;NA;1;2010;NA4;SA;wet;249
Zebra;;13.09;5.32;January 2010;NA;1;2010;NA4;SA;wet;250
Zebra;;16.70;5.47;January 2010;NA;1;2010;NA4;SA;wet;251
Zebra;;15.87;5.30;January 2010;NA;1;2010;NA4;SA;wet;252
Zebra;;14.38;5.45;January 2010;NA;1;2010;NA4;SA;wet;253
Zebra;;15.93;4.49;January 2010;NA;1;2010;NA4;SA;wet;254
Buffalo;325.7;13.12;1.85;Mid February 2010;NA;2;2010;DBP2;SA;dry;255
Buffalo;257.0;11.56;1.65;Mid February 2010;NA;2;2010;DBP2;SA;dry;256
Buffalo;172.0;8.99;1.26;Mid February 2010;NA;2;2010;DBP2;SA;dry;257
Buffalo;189.0;10.71;1.46;Mid February 2010;NA;2;2010;DBP2;SA;dry;258
Elephant;;15.24;1.58;Mid February 2010;NA;2;2010;DBP2;SA;dry;259
Elephant;444.9;13.21;1.69;Mid February 2010;NA;2;2010;DBP2;SA;dry;260
Elephant;458.1;14.49;1.99;Mid February 2010;NA;2;2010;DBP2;SA;dry;261
Elephant;458.5;15.39;1.99;Mid February 2010;NA;2;2010;DBP2;SA;dry;262
Elephant;456.4;12.27;1.49;Mid February 2010;NA;2;2010;DBP2;SA;dry;263
Wildebeest;398.3;14.24;3.46;Mid February 2010;NA;2;2010;DBP2;SA;dry;264
Wildebeest;392.2;13.32;3.65;Mid February 2010;NA;2;2010;DBP2;SA;dry;265
Wildebeest;458.1;13.79;3.52;Mid February 2010;NA;2;2010;DBP2;SA;dry;266
Wildebeest;397.0;13.63;3.45;Mid February 2010;NA;2;2010;DBP2;SA;dry;267
Wildebeest;399.0;13.96;3.60;Mid February 2010;NA;2;2010;DBP2;SA;dry;268
Zebra;;9.94;1.48;Mid February 2010;NA;2;2010;DBP2;SA;dry;269
Zebra;406.9;8.79;1.93;Mid February 2010;NA;2;2010;DBP2;SA;dry;270
Zebra;415.9;8.84;1.99;Mid February 2010;NA;2;2010;DBP2;MK;dry;271
Zebra;420.8;8.85;1.72;Mid February 2010;NA;2;2010;DBP2;SA;dry;272
Zebra;413.9;9.89;2.20;Mid February 2010;NA;2;2010;DBP2;SA;dry;273
Buffalo;;11.47;2.24;Mid September 2009;NA;9;2009;NA2;MK;dry;274
Buffalo;;10.44;1.86;Mid September 2009;NA;9;2009;NA2;SA;dry;275
Buffalo;;9.67;1.60;Mid September 2009;NA;9;2009;NA2;SA;dry;276
Buffalo;;7.40;1.44;Mid September 2009;NA;9;2009;NA2;SA;dry;277
Buffalo;;11.29;2.20;Mid September 2009;NA;9;2009;NA2;SA;dry;278
Buffalo;;9.80;1.81;Mid September 2009;NA;9;2009;NA2;SA;dry;279
Bushbuck;;18.43;3.56;Mid September 2009;NA;9;2009;NA2;SA;dry;280
Bushbuck;;14.51;4.00;Mid September 2009;NA;9;2009;NA2;SA;dry;281
Bushbuck;;9.74;2.23;Mid September 2009;NA;9;2009;NA2;SA;dry;282
Bushbuck;;11.36;1.94;Mid September 2009;NA;9;2009;NA2;MK;dry;283
Bushbuck;;11.36;1.94;Mid September 2009;NA;9;2009;NA2;MK;dry;284
Bushbuck;;19.37;2.25;Mid September 2009;NA;9;2009;NA2;MK;dry;285
Bushbuck;;24.97;2.99;Mid September 2009;NA;9;2009;NA2;MK;dry;286
Bushbuck;;19.30;2.33;Mid September 2009;NA;9;2009;NA2;MK;dry;287
Elephant;;13.58;1.85;Mid September 2009;NA;9;2009;NA2;MK;dry;288
Elephant;;7.76;1.40;Mid September 2009;NA;9;2009;NA2;MK;dry;289
Elephant;;10.94;1.38;Mid September 2009;NA;9;2009;NA2;MK;dry;290
Elephant;;11.36;1.94;Mid September 2009;NA;9;2009;NA2;MK;dry;291
Elephant;;11.42;1.55;Mid September 2009;NA;9;2009;NA2;MK;dry;292
Giraffe;;23.82;3.29;Mid September 2009;NA;9;2009;NA2;SA;dry;293
Giraffe;;10.78;2.42;Mid September 2009;NA;9;2009;NA2;SA;dry;294
Giraffe;;29.29;5.51;Mid September 2009;NA;9;2009;NA2;MK;dry;295
Giraffe;;10.58;4.39;Mid September 2009;NA;9;2009;NA2;SA;dry;296
Giraffe;;24.57;2.78;Mid September 2009;NA;9;2009;NA2;SA;dry;297
